Category,Role,Institution,Duration,Description
position,Assistant Professor – Computer Science & Engineering,"Graphic Era Hill University, Dehradun",23 Aug 2021 – Present (5+ years),"Teaching UG and PG courses, guiding Ph.D. scholars (1 awarded, 2 under supervision), and conducting research in WSN, machine learning and IoT. Convener for AutoCom and CyberCom conference series."
position,Assistant Professor – Computer Science & Engineering,"Lovely Professional University, Punjab",20 Jul 2018 – 31 Jul 2021 (3 years),"Taught core computer science subjects and mentored student projects related to machine learning, IoT and sensor networks."
course,Design and Analysis of Algorithms,,,
course,Machine Learning,,,
course,Data Structures,,,
course,Automata Theory,,,
course,Computer Graphics,,,
course,DevOps,,,
mentorship,,,,Guidance of Ph.D. scholars – 1 awarded and 2 under supervision.
